Block	Trial	Sequence	NumA	NumB	NumC	RT	Response	Delay
4	47	A	1	3	4	3.38E-01	4	5.00E-01
4	48	A	3	4	2	2.58E-01	2	5.00E-01
4	49	A	4	2	3	3.09E-01	3	4.00E-01
4	50	A	2	3	1	2.87E-01	1	2.00E-01
4	51	A	3	1	2	3.17E-01	2	5.50E-01
4	52	A	1	2	1	3.46E-01	1	5.50E-01
4	53	A	2	1	4	2.90E-01	4	2.00E-01
4	54	A	1	4	3	3.43E-01	3	3.00E-01
4	55	A	4	3	2	3.48E-01	2	5.50E-01
4	56	A	3	2	4	4.10E-01	4	3.50E-01
4	57	A	2	4	1	2.71E-01	1	3.50E-01
4	58	A	4	1	3	2.70E-01	3	2.50E-01
4	59	A	1	3	4	3.40E-01	4	6.00E-01
4	60	A	3	4	2	2.74E-01	1	4.00E-01
4	61	A	4	2	3	2.66E-01	3	6.00E-01
4	62	A	2	3	1	2.82E-01	1	4.00E-01
4	63	A	3	1	2	3.00E-01	2	4.50E-01
4	64	B	1	2	4	3.38E-01	4	4.00E-01
4	65	A	2	4	1	3.40E-01	1	3.00E-01
4	66	A	4	1	3	2.73E-01	3	4.00E-01
4	67	B	1	3	2	2.86E-01	2	2.00E-01
4	68	A	3	2	4	2.53E-01	4	3.00E-01
4	69	A	2	4	1	2.75E-01	2	3.00E-01
4	70	A	4	1	3	2.41E-01	3	5.50E-01
4	71	A	1	3	4	2.53E-01	4	6.00E-01
4	72	A	3	4	2	4.10E-01	2	3.50E-01
4	73	A	4	2	3	2.79E-01	3	5.50E-01
4	74	A	2	3	1	2.63E-01	2	4.50E-01
4	75	A	3	1	2	2.85E-01	2	5.00E-01
4	76	A	1	2	1	3.24E-01	1	3.00E-01
4	77	A	2	1	4	3.35E-01	4	4.00E-01
4	78	A	1	4	3	3.39E-01	3	2.00E-01
4	79	A	4	3	2	2.78E-01	2	2.50E-01
4	80	A	3	2	4	3.12E-01	4	5.50E-01
4	81	A	2	4	1	3.37E-01	1	2.00E-01
4	82	A	4	1	3	2.90E-01	3	5.50E-01
4	83	A	1	3	4	3.55E-01	4	2.50E-01
4	84	A	3	4	2	2.76E-01	2	3.50E-01
4	85	A	4	2	3	3.28E-01	3	2.50E-01
4	86	A	2	3	1	2.61E-01	1	5.50E-01
4	87	A	3	1	2	2.98E-01	2	4.50E-01
4	88	A	1	2	1	3.36E-01	1	6.00E-01
4	89	A	2	1	4	3.01E-01	4	4.50E-01
4	90	A	1	4	3	2.99E-01	3	4.00E-01
4	91	A	4	3	2	2.25E-01	2	6.00E-01
4	92	A	3	2	4	3.19E-01	4	2.00E-01
4	93	A	2	4	1	2.99E-01	1	2.50E-01
4	94	A	4	1	3	2.38E-01	3	6.00E-01
4	95	A	1	3	4	3.67E-01	4	3.50E-01
4	96	B	3	4	1	2.57E-01	1	5.00E-01
4	97	A	4	1	3	2.80E-01	3	4.00E-01
4	98	A	1	3	4	3.19E-01	4	2.50E-01
4	99	A	3	4	2	2.59E-01	2	5.50E-01
4	100	A	4	2	3	2.63E-01	4	5.50E-01
4	101	A	2	3	1	3.33E-01	1	2.00E-01
4	102	A	3	1	2	2.96E-01	2	4.50E-01
4	103	A	1	2	1	3.03E-01	1	3.50E-01
4	104	A	2	1	4	3.00E-01	4	2.50E-01
4	105	A	1	4	3	3.55E-01	3	3.00E-01
4	106	A	4	3	2	3.14E-01	3	5.50E-01
4	107	A	3	2	4	3.16E-01	4	3.00E-01
4	108	A	2	4	1	3.11E-01	1	3.00E-01
4	109	A	4	1	3	2.79E-01	3	3.50E-01
